tags,tag,score,Popularity,review,sum
chauffeur supporting character,chauffeur supporting character,7.5,3257.0,451.0,1
cheating,cheating,7.56,2057.8,4863.6,4
cheating ,cheating ,7.6,3455.0,545.0,1
cheerful female lead,cheerful female lead,7.543749999999999,9030.684210526317,6289.875,17
cheerful female lead ,cheerful female lead ,8.1,1152.0,14805.0,2
cheerful male lead,cheerful male lead,8.111111111111109,535.2222222222222,16827.11111111111,6
cheerful male lead ,cheerful male lead ,8.366666666666665,324.6666666666667,22675.666666666668,3
chef,chef,7.455555555555555,2770.222222222222,3359.8888888888887,3
chef female lead,chef female lead,7.6,3793.0,837.0,1
chef male lead,chef male lead,7.479999999999999,828.0,5630.0,4
chef male lead ,chef male lead ,6.8,1641.0,1638.0,1
chief of police supporting character ,chief of police supporting character ,8.1,711.0,1988.0,1
child abandonment,child abandonment,7.916666666666667,1993.142857142857,3447.1666666666665,4
child abandonment ,child abandonment ,7.933333333333334,816.3333333333334,4689.0,3
child abuse,child abuse,8.2375,953.75,7717.5,8
child behavior issues,child behavior issues,7.9,2331.0,2468.0,1
child behavior issues ,child behavior issues ,7.2,3933.0,728.0,1
child education,child education,7.6,3049.0,974.0,1
child female lead,child female lead,8.139999999999999,1372.0,4872.0,5
child male lead,child male lead,7.9,2359.0,1515.0,1
child sexual abuse,child sexual abuse,8.8,185.0,13640.0,1
child supporting character,child supporting character,7.2,2644.5,1592.0,2
childbirth,childbirth,8.15,1792.5,1857.5,2
childhood acquaintance,childhood acquaintance,7.849999999999999,939.0,16269.5,5
childhood acquaintance ,childhood acquaintance ,7.3,1166.0,2724.0,1
childhood connection,childhood connection,7.85,2156.0,20400.0,4
childhood crush,childhood crush,7.5,2015.0,2218.0,3
childhood sweethearts,childhood sweethearts,7.550000000000001,3522.5,707.5,2
childhood trauma,childhood trauma,8.214285714285715,954.5714285714286,8356.57142857143,7
childish female lead,childish female lead,8.033333333333333,1662.6666666666667,20495.33333333333,3
childish male lead,childish male lead,7.730769230769228,808.6923076923077,9883.615384615385,13
chocolatier,chocolatier,7.1,1108.0,4667.0,1
chungseon,chungseon,7.8,868.0,3935.0,1
