tag,0
first love ,first love 
doctor female lead,doctor female lead
cold male lead,cold male lead
disease,disease
brain surgery,brain surgery
death of a grandmother,death of a grandmother
death of a brother,death of a brother
photographer male lead,photographer male lead
single mother female lead,single mother female lead
raised by aunt,raised by aunt
studied abroad,studied abroad
adopted male lead,adopted male lead
positive female lead,positive female lead
hit and run ,hit and run 
nice ex-husband,nice ex-husband
controlling parent,controlling parent
goofy male lead,goofy male lead
second chance romance,second chance romance
rebellion,rebellion
arranged marriage,arranged marriage
doppelganger,doppelganger
money-obsession,money-obsession
big family,big family
contract relationship ,contract relationship 
exorcism,exorcism
korean medicine doctor,korean medicine doctor
radio personality,radio personality
childhood connection,childhood connection
obsessive female lead,obsessive female lead
heart transplant,heart transplant
disapproving parent,disapproving parent
family pressure,family pressure
forgiveness ,forgiveness 
curse,curse
found family,found family
grudge,grudge
blind date,blind date
adapted from a web novel,adapted from a web novel
fraud,fraud
former detective supporting character,former detective supporting character
police inspector supporting character,police inspector supporting character
police inspector female lead,police inspector female lead
barista supporting character,barista supporting character
chief of police supporting character ,chief of police supporting character 
non-mdl remake,non-mdl remake
workaholic female lead,workaholic female lead
office worker female lead,office worker female lead
office worker male lead,office worker male lead
talent agent female lead,talent agent female lead
talent agent male lead,talent agent male lead
team leader female lead,team leader female lead
team leader male lead,team leader male lead
hot-tempered female lead ,hot-tempered female lead 
"""school friends' relationship""","""school friends' relationship"""
first love returns,first love returns
carreer female lead,carreer female lead
damsel in distress,damsel in distress
sexual content,sexual content
lovers to enemies,lovers to enemies
love/hate relationship ,love/hate relationship 
1930s,1930s
impulsive female lead,impulsive female lead
autism,autism
tv host supporting character,tv host supporting character
police department setting ,police department setting 
campus setting,campus setting
diligent female lead,diligent female lead
school ,school 
housekeeper,housekeeper
adoption,adoption
north korean ,north korean 
stalking,stalking
possessive male lead,possessive male lead
businessman,businessman
scandal,scandal
conglomerate,conglomerate
business rivalry,business rivalry
kidnapping ,kidnapping 
spirit possession,spirit possession
attempted assault ,attempted assault 
patriotism ,patriotism 
assemblyman male lead,assemblyman male lead
lawyer female lead,lawyer female lead
competent female lead,competent female lead
elections,elections
lawmaker,lawmaker
workplace romance ,workplace romance 
future seeing female lead,future seeing female lead
cult,cult
suicide ,suicide 
child behavior issues,child behavior issues
psychiatry,psychiatry
child abandonment,child abandonment
domestic violence,domestic violence
former idol,former idol
rich female lead ,rich female lead 
neurosurgeon male lead ,neurosurgeon male lead 
mistress female lead ,mistress female lead 
café setting,café setting
inner monologue,inner monologue
chocolatier,chocolatier
tragic past ,tragic past 
hospice care,hospice care
cooking,cooking
compassionate female lead,compassionate female lead
alien,alien
calm female lead,calm female lead
human experimentation ,human experimentation 
vigilante,vigilante
romance,romance
phobia,phobia
mysophobia,mysophobia
