actor,cast,Popul,score
Jang Geun Suk,6,1442.6666666666667,7.533333333333332
Jang Gwang,5,1594.6,8.05
Jang Gyu Ri,2,4513.0,
Jang Hee Jin,8,1532.625,7.849999999999999
Jang Hee Ryung,2,1328.5,7.25
Jang Hye Jin,3,1559.3333333333333,8.1
Jang Hyuk,17,1503.2105263157894,7.989473684210526
Jang Hyuk Jin,2,172.0,8.75
Jang Hyun Sung,16,8563.8125,7.793750000000002
Jang In Sub,1,1417.0,7.8
Jang Ji Eun,1,721.0,7.6
Jang Ji Won,1,99999.0,6.5
Jang Jin Young,1,6352.0,7.2
Jang Joon Hyun,1,482.0,7.4
Jang Ki Beom,1,4884.0,6.7
Jang Ki Yong,9,724.0,7.766666666666666
Jang Mi Hee ,5,1906.2,7.519999999999999
Jang Mi In Ae,2,99999.0,6.699999999999999
Jang Na Ra,12,1441.0,7.766666666666667
Jang Se Hyun,1,1954.0,7.5
Jang Seo Hee,4,6598.5,7.450000000000001
Jang Seung Jo,8,1583.125,7.987499999999999
Jang Shin Young,6,6728.166666666667,7.25
Jang So Yeon,5,2012.0,7.6
Jang Sung Yoon,1,936.0,8.2
Jang Tae Sung,1,2466.0,7.0
Jang Won Hyuk,1,8847.0,7.4
Jang Won Young,1,2264.0,6.9
Jang Ye Seul,1,99999.0,7.2
Jang Yong,2,1629.0,8.2
Jang Yoo Sang,2,714.5,7.4
Jang Yoon Ju,1,577.0,8.3
Jang Young Nam,7,1821.2857142857142,8.014285714285714
Jasper Cho,1,5245.0,7.3
Jay B,2,219.0,6.9
Jei,1,500.0,6.7
Jeon Bae Soo,1,227.0,9.2
Jeon Chae Eun,1,179.0,8.8
Jeon Chang Ha,1,866.0,7.3
Jeon Do Yeon,3,2639.0,7.900000000000001
Jeon Gook Hwan,6,2014.0,7.533333333333332
Jeon Hye Bin,9,2651.1111111111113,7.699999999999999
Jeon Hye Jin,5,40800.2,7.960000000000001
Jeon Hye Soo,1,9959.0,7.9
Jeon Hyo Sung,4,2042.5,7.675
Jeon Ik Ryung,2,51062.5,7.949999999999999
Jeon In Hwa,3,4281.333333333333,7.433333333333334
Jeon Jae Yeong,1,158.0,8.1
Jeon Jin Ki,1,99999.0,7.4
Jeon Jin Seo,1,508.0,8.3
Jeon Jong Seo,1,577.0,8.3
Jeon Kwang Ryul,11,3308.909090909091,7.481818181818181
Jeon Mi Do,2,295.5,8.6
Jeon Mi Seon,5,4845.0,7.359999999999999
Jeon Min Seo,1,99999.0,7.4
Jeon Moo Song,1,961.0,7.8
Jeon Noh Min,7,18094.285714285714,7.542857142857143
Jeon Seung Bin,1,99999.0,7.5
Jeon So Min,9,2635.6666666666665,7.688888888888889
Jeon So Nee,2,2261.5,7.8
Jeon Soo Jin,2,1048.0,8.05
