actors,장르,점수별,인기별,리뷰수,작품수
Ha Hee Ra,Ha Hee Ra,7.271428571428571,58895.857142857145,2800.1428571428573,7
Ha Jae Sook,Ha Jae Sook,7.574999999999999,755.75,6982.0,4
Ha Jae Young,Ha Jae Young,7.4,3990.0,1008.5,2
Ha Ji Won,Ha Ji Won,7.933333333333334,12634.4,6302.222222222223,10
Ha Joo Hee,Ha Joo Hee,7.3,8088.0,175.0,1
Ha Joon,Ha Joon,7.799999999999998,3419.5,9007.176470588236,6
Ha Jung Woo,Ha Jung Woo,,4230.0,,1
Ha Kyu Won,Ha Kyu Won,8.3,181.0,17804.0,1
Ha Seok Jin,Ha Seok Jin,7.442857142857144,9435.6,4482.071428571428,15
Ha Seung Ri,Ha Seung Ri,7.6,3754.0,689.0,1
Ha Shi Eun,Ha Shi Eun,7.75,2640.0,2936.5,2
Ha Yeon Soo,Ha Yeon Soo,7.475,1458.0,5500.25,4
Ha Yun Joo,Ha Yun Joo,7.25,2667.0,2870.5,2
Ham Eun Jung,Ham Eun Jung,7.32,5085.6,1047.2,5
Ham Shin Young,Ham Shin Young,8.0,99999.0,5.0,1
Ham Yeon Ji,Ham Yeon Ji,,99999.0,,1
Han Bo Bae,Han Bo Bae,7.9,99999.0,5.0,1
Han Bo Reum,Han Bo Reum,7.55,1064.5,4112.5,2
Han Chae Ah,Han Chae Ah,7.314285714285715,3245.8571428571427,2989.0,7
Han Chae Young,Han Chae Young,6.875,2745.25,2719.75,4
Han Da Gam,Han Da Gam,7.42,5825.2,613.4,5
Han Da Min,Han Da Min,7.1,11841.0,27.0,1
Han Eun Seo,Han Eun Seo,8.3,283.0,12835.0,1
Han Eun Sun,Han Eun Sun,7.5,791.0,5427.0,1
Han Ga In,Han Ga In,7.966666666666666,3230.333333333333,8267.0,3
Han Ga Rim,Han Ga Rim,7.3,39261.66666666666,76.66666666666667,3
Han Gap Soo,Han Gap Soo,7.6,6778.0,196.0,1
Han Gi Chan,Han Gi Chan,8.1,158.0,24755.0,1
Han Go Eun,Han Go Eun,7.055555555555556,26863.666666666668,1315.111111111111,9
Han Groo,Han Groo,7.6,707.5,13512.0,2
Han Hye Jin,Han Hye Jin,7.116666666666667,6041.0,403.0,6
Han Hye Rin,Han Hye Rin,7.25,2451.5,1881.5,2
Han Hye Sook,Han Hye Sook,7.5,55739.5,55.5,2
Han Hyo Joo,Han Hyo Joo,8.7,974.0,49833.0,3
Han Hyun Min,Han Hyun Min,7.9,641.0,7775.0,1
Han Jae Suk,Han Jae Suk,7.3125,17654.625,1794.375,8
Han Ji An,Han Ji An,8.0,196.0,17260.0,1
Han Ji Eun,Han Ji Eun,8.25,1189.6,9284.25,5
Han Ji Hye,Han Ji Hye,7.425,4326.375,1140.5,8
Han Ji Hyo,Han Ji Hyo,7.1,3015.0,610.0,1
Han Ji Hyun,Han Ji Hyun,,4513.0,,2
Han Ji Min,Han Ji Min,7.909999999999999,1852.7,8552.4,10
Han Ji Sang,Han Ji Sang,7.4,6719.0,425.0,2
Han Ji Wan,Han Ji Wan,7.4,9452.0,55.0,1
Han Jin Hee,Han Jin Hee,7.133333333333333,24003.0,138.5,6
Han Joo Wan,Han Joo Wan,7.566666666666667,2094.833333333333,5993.666666666667,6
Han Joon Woo,Han Joon Woo,8.2,730.0,5295.0,1
Han Jung Soo,Han Jung Soo,7.45,485.0,8888.0,2
Han Ki Woong,Han Ki Woong,7.6,3455.0,545.0,1
Han Min,Han Min,8.1,629.0,6236.0,1
Han Sang Jin,Han Sang Jin,7.279999999999999,4686.8,3289.2,5
Han Seo Jin,Han Seo Jin,8.0,1899.0,1326.0,1
Han Seok Kyu,Han Seok Kyu,8.25,1138.0,7667.5,4
Han Seung Yeon,Han Seung Yeon,7.716666666666668,1289.5,7396.166666666667,6
Han So Eun,Han So Eun,8.2,984.0,4780.0,2
